Partida,Barruko kodea,Deskribapena,Urtea,Hasierako aurr.,Onart. Oblig.
1 01.121.99.231.01 2017 (4292),4292,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LANKIDET,2017,1914.0,2261.33
1 01.121.99.231.03 2017 (4869),4869,FUNTZIONARIOA.SOLDATA.OSAGARRIA. GAZTERI,2017,20152.0,15543.75
1 01.121.99.241.00 2017 (4294),4294,FUNTZIONARIOA.SOLDATA.OSAGARRIA.TOKI GAR,2017,70234.0,80755.91
1 01.121.99.241.02 2017 (5565),5565,FUNTZIONARIOA.SOLDATA.OSAGARRIA.,2017,0.0,20550.68
1 01.121.99.323.10 2017 (4295),4295,FUNTZIONARIOA.SOLDATA.OSAGARRIA.IKASTETX,2017,62476.0,85143.28
1 01.121.99.326.01 2017 (4297),4297,FUNTZIONARIOA.SOLDATA.OSAGARRIA.MUSIKA E,2017,245928.0,253374.67
1 01.121.99.330.00 2017 (4298),4298,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KULTURA,2017,42535.0,42909.89
1 01.121.99.332.10 2017 (4299),4299,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LIBURUTE,2017,82565.0,116490.57
1 01.121.99.333.00 2017 (4300),4300,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KULTUR E,2017,28801.0,72106.57
1 01.121.99.335.00 2017 (4301),4301,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKARA,2017,75388.0,92499.81
1 01.121.99.335.10 2017 (4302),4302,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKALTE,2017,152169.0,161648.93
1 01.121.99.335.30 2017 (4303),4303,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKARA,2017,37257.0,31763.98
1 01.121.99.335.40 2017 (4304),4304,FUNTZIONARIOA.SOLDATA.OSAGARRIA.UDALEKUA,2017,64000.0,10382.75
1 01.121.99.342.00 2017 (4305),4305,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KIROLDEG,2017,257875.0,273586.21
1 01.121.99.342.01 2017 (4306),4306,FUNTZIONARIOA.SOLDATA.OSAGARRIA.IGERILEK,2017,11016.0,973.86
1 01.121.99.414.00 2017 (4307),4307,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INGURUNE,2017,18742.0,19831.58
1 01.121.99.432.00 2017 (4308),4308,FUNTZIONARIOA.SOLDATA.OSAGARRIA.TURISMOA,2017,18629.0,18782.39
1 01.121.99.920.00 2017 (4310),4310,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ADMINIST,2017,195462.0,191194.47
1 01.121.99.920.10 2017 (4311),4311,FUNTZIONARIOA.SOLDATA.OSAGARRIA.PERTSONA,2017,64441.0,69557.88
1 01.121.99.920.11 2017 (4312),4312,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LAN SEGU,2017,26949.0,26803.43
1 01.121.99.920.20 2017 (4313),4313,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INFORMAT,2017,45518.0,45879.94
1 01.121.99.920.30 2017 (4314),4314,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ARTXIBOA,2017,21049.0,21199.06
1 01.121.99.929.00 2017 (5582),5582,SOLDATA IGOERA 2017,2017,0.0,0.0
1 01.121.99.929.10 2017 (4315),4315,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BAKE EPA,2017,4986.0,5962.74
1 01.121.99.931.00 2017 (4316),4316,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ADMINIST,2017,159560.0,172418.39
1 01.121.99.932.00 2017 (4317),4317,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BILKETA,2017,87464.0,93859.03
1 01.121.99.933.00 2017 (4318),4318,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ONDAREA-,2017,47831.0,83324.1
1 01.131.01.241.01 2017 (4321),4321,ALDIBATERAKO.SOLDATA.IKASTAROAK.,2017,27300.0,0.0
1 01.131.01.241.02 2017 (4322),4322,ALDIBATERAKO.SOLDATA.LANBIDE PROGRAMAK,2017,48500.0,53204.91
1 01.131.01.324.10 2017 (4325),4325,ALDIBATERAKO.SOLDATA.HLP PROGRAMAK,2017,86309.0,103011.66
1 01.131.01.333.00 2017 (4326),4326,ALDIBATERAKO.SOLDATA.KULTUR ETXEA,2017,2623.0,2178.97
1 01.160.01.132.00 2017 (4329),4329,GIZ.SEGURANTZA.UDALTZAINGOA,2017,315809.0,298687.94
1 01.160.01.151.00 2017 (4330),4330,GIZ.SEGURANTZA.HIRIGINTZA,2017,78687.0,65290.44
1 01.160.01.153.40 2017 (4331),4331,GIZ.SEGURANTZA.OBRETAKO LANTALDEA,2017,138418.0,119638.48
1 01.160.01.161.00 2017 (4333),4333,GIZ.SEGURANTZA.UR HORNIDURA,2017,47400.0,41063.03
1 01.160.01.164.00 2017 (4334),4334,GIZARTE SEGUR:HILERRIA,2017,8358.0,8272.14
1 01.160.01.165.00 2017 (4335),4335,GIZ.SEGURANTZA.KALEKO ARGIKUNTZA,2017,21256.0,27650.76
1 01.160.01.171.00 2017 (4337),4337,GIZ.SEGURANTZA.PARKEAK ETA LORATEGIAK,2017,10395.0,2283.9
1 01.160.01.172.20 2017 (4336),4336,GIZARTE SEGUR:INGURUGIROA,2017,20264.0,20509.91
1 01.160.01.231.00 2017 (4339),4339,GIZARTE SEGUR:BERDINTASUNA,2017,29219.0,21961.55
1 01.160.01.231.01 2017 (4338),4338,GIZARTE SEGUR:LANKIDETZA,2017,875.0,940.16
1 01.160.01.231.03 2017 (4870),4870,GIZARTE SEGUR. GAZTERIA,2017,10997.0,7910.8
1 01.160.01.241.00 2017 (4340),4340,GIZARTE SEGUR:TOKI GARAPENA,2017,32477.0,38841.38
1 01.160.01.241.01 2017 (4341),4341,GIZARTE SEGURANTZA.ENPLEGU IKASTAROAK,2017,8800.0,0.0
